Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Pct
2009-05-26,7072.7,7142.05,6813.1,6851.1,25573104,1732.34,-3.2345170848476803
2009-05-27,7013.8,7234.05,7013.8,7215.2,26964148,1928.57,2.791329415678008
2009-05-28,7202.35,7376.05,7143.4,7338.6,42525652,2989.31,1.8566211538985637
2009-05-29,7373.9,7496.75,7362.9,7416.0,31676768,2083.5,0.5676914778856575
2009-06-01,7559.3,7559.3,7287.15,7364.05,31978183,2098.04,-2.6513942735315483
2009-06-02,7399.9,7452.65,7134.5,7343.2,37071682,2447.17,-0.7721429349602329
2009-06-03,7361.35,7425.65,7187.45,7262.3,29336347,1940.35,-1.3638929815623175
2009-06-04,7176.8,7362.55,7111.95,7349.9,41216088,2149.14,2.3551340834569103
2009-06-05,7418.8,7448.7,7308.85,7343.3,38746658,2192.39,-1.0281481077989458
2009-06-08,7322.1,7362.15,6938.55,6975.05,25953348,1557.72,-4.975591572820269
2009-06-09,6909.5,7207.05,6909.5,7185.75,49282816,2083.4,3.844414292175486
2009-06-10,7230.2,7402.0,7230.2,7338.95,46537401,2456.43,1.481819606346957
2009-06-11,7368.85,7368.85,7176.4,7251.65,35259613,1806.89,-1.616183902973816
2009-06-12,7334.55,7338.05,7063.85,7083.1,29916683,1808.25,-3.5499992940943907
2009-06-15,7013.55,7192.85,6986.05,7081.2,26936767,1466.02,0.9553465514319557
2009-06-16,7037.35,7295.05,6970.6,7274.15,48754331,2029.87,3.255363169579941
2009-06-17,7275.1,7339.25,7032.6,7081.75,32851499,1760.54,-2.7302573516433135
2009-06-18,7082.75,7251.95,6967.0,7081.15,45328670,2176.82,-0.02259519993221954
2009-06-19,7147.95,7262.0,7017.0,7223.55,42384589,1982.09,1.0465768216458715
2009-06-22,7261.5,7402.85,7196.95,7229.55,33201738,1846.47,-0.441936220096684
2009-06-23,7108.0,7129.45,6989.1,7091.3,38242151,2040.01,-0.23549983782945044
2009-06-24,7147.1,7147.1,7015.4,7107.9,33161610,1636.05,-0.551499036283582
2009-06-25,7158.95,7239.95,7100.25,7123.0,39146282,2128.56,-0.5047030745472388
2009-06-26,7182.2,7417.5,7160.0,7398.45,31376868,2054.27,2.922909528347154
2009-06-29,7446.45,7626.95,7381.8,7508.6,34053035,2315.97,0.8277175505420524
