"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"26-May-2020","    17537.65","    17681.70","    17311.25","    17440.35","      336758208","         6854.37"
"27-May-2020","    17603.40","    18874.25","    17560.35","    18710.55","      538003230","        12905.82"
"28-May-2020","    18924.45","    19455.55","    18818.95","    19169.80","      561124154","        14381.40"
"29-May-2020","    18962.00","    19358.05","    18729.90","    19297.25","      581732090","        10922.76"
"01-Jun-2020","    19728.90","    20225.35","    19632.90","    19959.90","      558065113","        10263.32"
"02-Jun-2020","    20120.60","    20615.75","    19852.55","    20530.20","      448324616","        11334.54"
"03-Jun-2020","    20966.60","    21619.55","    20822.00","    20940.70","      616871764","        14189.77"
"04-Jun-2020","    20932.35","    21141.80","    20316.20","    20390.45","      587859629","        11840.17"
"05-Jun-2020","    20516.40","    21198.70","    20425.05","    21034.50","      637447046","        11950.42"
"08-Jun-2020","    21636.10","    21807.40","    20911.25","    21187.35","      748110342","        14784.22"
"09-Jun-2020","    21295.50","    21568.85","    20629.70","    20724.90","      641246103","        14242.32"
"10-Jun-2020","    20760.95","    21251.45","    20671.55","    21100.10","      582992179","        12121.73"
"11-Jun-2020","    21084.70","    21244.45","    20458.30","    20525.15","      747065326","        15002.14"
"12-Jun-2020","    19529.30","    20747.70","    19526.10","    20654.55","      599190078","        13935.65"
"15-Jun-2020","    20457.15","    20470.85","    19740.20","    19912.90","      465009106","        10707.30"
"16-Jun-2020","    20500.65","    20638.85","    19507.05","    20296.70","      552448328","        13903.52"
"17-Jun-2020","    20137.45","    20627.90","    19978.15","    20201.75","      453526032","        11014.55"
"18-Jun-2020","    20137.60","    21028.35","    20030.35","    20956.30","      362837078","         9472.12"
"19-Jun-2020","    20970.10","    21467.65","    20878.25","    21338.10","      523371321","        13175.29"
"22-Jun-2020","    21491.55","    22078.25","    21425.55","    21708.35","      664606529","        12224.92"
"23-Jun-2020","    21859.25","    22322.30","    21647.80","    22264.90","      527935624","        10872.51"
"24-Jun-2020","    22479.35","    22479.55","    21336.35","    21426.80","      684574815","        14467.17"
"25-Jun-2020","    21218.05","    21703.50","    20926.45","    21506.15","      586179820","        15602.68"
"26-Jun-2020","    21735.05","    21784.65","    21320.10","    21592.05","      375592321","         9898.51"
"29-Jun-2020","    21291.55","    21440.05","    21026.45","    21359.00","      328004604","         8606.69"
"30-Jun-2020","    21524.30","    21650.50","    21212.00","    21370.15","      292655825","         8208.92"
"01-Jul-2020","    21354.10","    22061.60","    21281.85","    21977.60","      385956486","        10267.97"
"02-Jul-2020","    22133.80","    22344.85","    21890.50","    21953.20","      398994350","        11077.87"
"03-Jul-2020","    22101.75","    22130.30","    21768.00","    21852.40","      256179957","         7084.50"
"06-Jul-2020","    22270.95","    22399.25","    22171.05","    22198.95","      290921694","         7884.54"
"07-Jul-2020","    22254.30","    22674.50","    22040.35","    22628.00","      455766093","        11652.55"
"08-Jul-2020","    22700.90","    23080.60","    22499.50","    22584.65","      673130542","        16312.40"
"09-Jul-2020","    22753.15","    22998.30","    22673.40","    22907.20","      355982560","         8998.85"
"10-Jul-2020","    22720.95","    22835.20","    22320.05","    22398.45","      457099610","         8969.63"
"13-Jul-2020","    22613.25","    22657.40","    21981.65","    22089.25","      293704011","         7516.64"
"14-Jul-2020","    21877.60","    21909.70","    21222.45","    21392.20","      338499620","         8134.81"
"15-Jul-2020","    21634.25","    21935.50","    21230.55","    21340.75","      359145119","         8748.15"
"16-Jul-2020","    21453.25","    21671.25","    21027.85","    21597.15","      348563989","         7838.97"
"17-Jul-2020","    21608.05","    22065.00","    21550.80","    21966.80","      294921788","         7404.45"
"20-Jul-2020","    22307.30","    22520.45","    22187.80","    22321.85","      349653489","        10172.45"
"21-Jul-2020","    22639.85","    22861.90","    22597.95","    22782.00","      316649600","         9744.39"
"22-Jul-2020","    23159.00","    23211.35","    22658.20","    22882.60","      412721326","        11349.74"
"23-Jul-2020","    22854.85","    23122.35","    22734.90","    23083.90","      307580829","         8038.76"
"24-Jul-2020","    22853.20","    22854.05","    22417.20","    22662.05","      436264876","         9908.17"
